PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other 
E14001137,Bromley and Biggin Hill,London,28.84,36.83,8.94,8.55,15.31,0,0,1.54,22.53,28.12,3.78,3.27,7.54,0,0,0.34,36.77,46.03,16.67,15.95,24.79,0,0,3.91 
E14001138,Bromsgrove,West Midlands,35.29,36.03,8.59,5.49,13.55,0,0,1.05,27.76,26.16,2.93,1.26,6.08,0,0,0.17,43.27,46.38,16.84,13.44,24.32,0,0,3.29 
E14001139,Broxbourne,East of England,32.62,30.89,7.41,4.91,18.13,0,0,6.04,23.45,21.40,2.45,1.10,8.51,0,0,1.68,42.22,41.26,14.86,12.42,31.17,0,0,15.03 
E14001140,Broxtowe,East Midlands,24.23,41.56,0.27,9.47,21.71,0,0,2.76,17.79,31.37,0.05,2.61,12.76,0,0,0.61,31.09,51.61,0.82,20.86,32.75,0,0,7.19 
E14001141,Buckingham and Bletchley,South East,29.86,37.46,13.04,2.21,15.79,0,0,1.65,23.04,28.14,5.94,0.50,8.25,0,0,0.38,37.38,47.30,22.67,5.78,25.34,0,0,4.24 
E14001142,Burnley,North West,19.87,40.73,8.85,5.81,19.66,0,0,5.08,14.51,31.57,3.27,1.30,10.48,0,0,1.42,25.61,50.00,16.52,13.88,31.00,0,0,12.22 
E14001143,Burton and Uttoxeter,West Midlands,32.57,40.11,4.61,5.43,14.19,0,0,3.09,24.87,30.24,1.47,1.10,6.88,0,0,0.64,40.62,50.31,10.20,14.14,24.29,0,0,8.70 
E14001144,Bury North,North West,28.73,47.34,2.67,2.70,14.38,0,0,4.18,22.30,37.42,0.68,0.36,6.96,0,0,1.00,35.77,56.67,6.50,8.55,24.32,0,0,10.91 
E14001145,Bury South,North West,24.07,55.23,2.60,5.26,10.99,0,0,1.84,18.66,45.49,0.70,1.29,5.28,0,0,0.39,30.20,64.87,6.11,12.97,18.91,0,0,4.62 
E14001146,Bury St Edmunds and Stowmarket,East of England,30.62,25.57,1.44,20.88,18.20,0,0,3.30,22.59,17.09,0.39,10.07,9.13,0,0,0.81,39.32,34.40,3.57,33.16,29.65,0,0,8.34 
E14001147,Calder Valley,Yorkshire and The Humber,29.96,53.62,2.76,0.74,12.07,0,0,0.85,22.59,43.54,0.75,0.08,5.28,0,0,0.16,37.56,63.05,6.98,2.87,21.50,0,0,2.50 
E14001148,Camborne and Redruth,South West,24.40,52.88,4.15,2.69,14.84,0,0,1.04,18.10,42.51,1.25,0.50,7.12,0,0,0.17,31.24,63.27,8.73,6.98,25.38,0,0,3.27 
E14001149,Cambridge,East of England,9.86,59.38,16.33,10.51,0,0,0,3.92,6.18,45.28,5.95,2.98,0,0,0,0.64,14.12,73.10,30.24,22.01,0,0,0,11.48 
E14001150,Cannock Chase,West Midlands,28.04,31.14,0.07,10.81,29.94,0,0,0,19.16,21.13,0.01,3.59,16.92,0,0,0,37.72,41.85,0.22,22.74,45.86,0,0,0 
E14001151,Canterbury,South East,26.81,55.66,5.21,0.29,10.66,0,0,1.38,20.79,46.84,1.94,0.03,5.24,0,0,0.29,32.94,64.34,11.03,1.15,18.29,0,0,3.93 
E14001152,Carlisle,North West,28.71,46.30,7.53,3.21,11.70,0,0,2.56,23.03,36.97,3.00,0.67,5.69,0,0,0.63,35.51,55.95,14.82,8.95,20.27,0,0,6.82 
E14001153,Carshalton and Wallington,London,21.57,22.70,37.08,8.33,8.34,0,0,1.98,15.06,13.54,22.05,1.70,3.24,0,0,0.35,28.59,34.28,52.73,21.01,15.64,0,0,5.57 
E14001154,Castle Point,East of England,35.85,36.71,5.52,0.01,21.92,0,0,0,26.28,25.86,1.49,0,10.51,0,0,0,45.64,47.57,13.65,0.03,36.50,0,0,0 
E14001155,Central Devon,South West,27.98,34.92,12.46,9.41,13.07,0,0,2.16,20.65,25.36,5.53,2.76,5.82,0,0,0.41,36.09,45.19,21.39,20.62,24.24,0,0,6.50 
E14001156,Central Suffolk and North Ipswich,East of England,27.72,38.98,5.61,10.71,13.99,0,0,3.00,20.59,29.05,2.06,3.44,6.19,0,0,0.67,35.45,49.73,11.31,22.82,25.32,0,0,8.47 
E14001157,Chatham and Aylesford,South East,31.05,31.38,5.76,3.23,26.89,0,0,1.70,22.75,22.18,1.77,0.58,16.04,0,0,0.37,40.19,40.84,13.27,8.94,41.03,0,0,4.69 
E14001158,Cheadle,North West,21.28,20.58,50.30,0.48,6.52,0,0,0.84,15.42,12.90,36.97,0.05,2.76,0,0,0.13,28.20,30.24,61.78,1.82,12.71,0,0,2.54 
E14001159,Chelmsford,East of England,29.53,33.06,21.90,1.67,12.28,0,0,1.56,22.51,23.88,12.08,0.32,6.02,0,0,0.30,37.65,42.80,32.76,5.07,21.15,0,0,4.53 
E14001160,Chelsea and Fulham,London,38.00,36.68,11.26,5.17,7.38,0,0,1.51,30.00,26.84,4.43,1.00,2.97,0,0,0.24,46.50,46.89,21.10,13.45,14.13,0,0,4.32 
E14001161,Cheltenham,South West,30.97,12.87,54.40,0.85,0,0,0,0.91,22.38,7.42,41.04,0.09,0,0,0,0.13,40.45,20.60,66.39,3.06,0,0,0,3.05 
E14001162,Chesham and Amersham,South East,23.81,15.36,45.43,7.69,7.06,0,0,0.65,17.61,9.91,34.96,2.79,3.26,0,0,0.12,30.05,21.93,56.38,15.19,12.53,0,0,1.84 
E14001163,Chester North and Neston,North West,22.68,52.74,4.70,8.46,11.42,0,0,0,16.51,41.40,1.40,1.76,4.49,0,0,0,29.23,63.93,10.51,20.30,21.15,0,0,0 
E14001164,Chester South and Eddisbury,North West,27.27,44.95,10.39,4.65,11.61,0,0,1.13,20.56,33.01,3.80,0.76,4.87,0,0,0.23,34.72,56.36,20.51,14.79,21.93,0,0,3.49 
E14001165,Chesterfield,East Midlands,17.74,48.95,8.77,6.15,15.99,0,0,2.41,13.15,37.82,3.39,1.51,8.10,0,0,0.49,23.39,59.88,16.68,14.89,25.90,0,0,6.85 
E14001166,Chichester,South East,30.51,20.58,31.58,5.12,11.28,0,0,0.93,25.34,15.62,24.28,2.33,6.47,0,0,0.24,36.24,26.63,38.48,9.52,18.06,0,0,2.30 
E14001167,Chingford and Woodford Green,London,31.85,51.11,5.43,0.53,8.37,0,0,2.71,25.53,41.97,1.91,0.06,3.57,0,0,0.59,38.28,59.59,11.26,2.04,15.47,0,0,6.95 
E14001168,Chippenham,South West,28.81,19.70,29.09,5.08,15.50,0,0,1.83,21.39,12.73,17.26,1.27,7.39,0,0,0.40,37.15,28.17,42.40,11.88,25.82,0,0,5.03 
E14001169,Chipping Barnet,London,32.50,49.69,5.08,4.90,6.06,0,0,1.77,25.90,40.27,1.64,1.21,2.64,0,0,0.41,39.26,58.61,10.29,11.97,11.60,0,0,4.97 
E14001171,Christchurch,South West,31.64,25.99,20.58,6.74,13.79,0,0,1.26,23.28,16.06,8.64,1.28,5.49,0,0,0.19,40.54,37.34,34.85,16.58,25.96,0,0,4.66 
E14001172,Cities of London and Westminster,London,29.38,30.99,22.58,10.02,4.98,0,0,2.05,23.53,23.85,14.85,5.09,2.32,0,0,0.58,35.67,39.37,30.53,16.20,9.13,0,0,4.79 
E14001173,City of Durham,North East,14.99,56.85,10.93,3.85,11.96,0,0,1.41,11.33,46.89,4.55,0.85,6.00,0,0,0.27,19.65,66.18,19.36,9.48,20.18,0,0,4.06 
E14001174,Clacton,East of England,29.44,27.59,4.77,6.19,30.73,0,0,1.29,20.92,18.50,1.35,1.59,19.10,0,0,0.19,38.24,37.69,10.63,14.57,44.88,0,0,4.08 
