pcon,pcon_name,region,country,con_est,con_low,con_high,lab_est,lab_low,lab_high,ld_est,ld_low,ld_high,ref_est,ref_low,ref_high,grn_est,grn_low,grn_high,oth_est,oth_low,oth_high,pc_est,pc_low,pc_high,snp_est,snp_low,snp_high,Seat category
E14001552,Torridge and Tavistock,South West,England,34.03%,26.60%,40.77%,32.18%,24.51%,40.37%,16.51%,9.64%,25.11%,12.76%,6.83%,21.09%,3.46%,1.45%,6.69%,0.29%,0.14%,0.57%,NA,NA,NA,NA,NA,NA, toss up
E14001553,Tottenham,London,England,7.30%,5.29%,9.95%,69.01%,57.71%,78.20%,3.89%,1.47%,8.70%,4.12%,1.99%,7.77%,11.70%,5.76%,20.80%,2.99%,1.77%,4.75%,NA,NA,NA,NA,NA,NA, strong lab
E14001554,Truro and Falmouth,South West,England,25.57%,19.54%,31.15%,51.58%,43.28%,59.74%,7.33%,3.60%,13.12%,9.15%,4.68%,15.26%,5.29%,2.42%,10.03%,0.46%,0.26%,0.78%,NA,NA,NA,NA,NA,NA, strong lab
E14001555,Tunbridge Wells,South East,England,34.09%,27.29%,41.15%,28.24%,20.55%,37.86%,22.00%,13.71%,32.67%,11.13%,5.78%,18.43%,2.91%,1.17%,6.44%,0.42%,0.25%,0.71%,NA,NA,NA,NA,NA,NA, lean con
E14001556,Twickenham,London,England,18.25%,12.35%,24.95%,22.11%,14.25%,32.66%,46.85%,34.52%,57.83%,7.74%,3.72%,14.39%,3.01%,1.17%,7.10%,0.92%,0.51%,1.59%,NA,NA,NA,NA,NA,NA, strong ld
E14001557,Tynemouth,North East,England,19.30%,13.85%,24.70%,61.35%,53.50%,69.23%,2.92%,1.12%,6.54%,10.57%,5.49%,17.80%,4.58%,2.15%,8.58%,0.48%,0.26%,0.90%,NA,NA,NA,NA,NA,NA, strong lab
E14001558,Uxbridge and South Ruislip,London,England,30.45%,24.51%,36.85%,48.53%,39.59%,56.43%,4.58%,1.85%,9.97%,9.56%,4.78%,16.81%,4.38%,1.94%,9.83%,1.49%,0.92%,2.42%,NA,NA,NA,NA,NA,NA, likely lab
E14001559,Vauxhall and Camberwell Green,London,England,8.79%,6.58%,11.95%,57.45%,47.04%,66.11%,9.56%,5.22%,16.33%,4.83%,2.45%,8.50%,15.98%,9.12%,24.91%,2.89%,1.76%,4.70%,NA,NA,NA,NA,NA,NA, strong lab
E14001560,Wakefield and Rothwell,Yorkshire and The Humber,England,21.46%,14.95%,27.43%,49.91%,41.18%,58.74%,5.49%,2.26%,11.54%,16.70%,9.19%,26.83%,4.40%,1.90%,9.26%,0.77%,0.47%,1.28%,NA,NA,NA,NA,NA,NA, strong lab
E14001561,Wallasey,North West,England,12.38%,9.03%,16.02%,67.28%,58.05%,74.59%,3.42%,1.30%,7.44%,8.31%,4.21%,14.07%,7.15%,3.40%,14.11%,0.80%,0.44%,1.49%,NA,NA,NA,NA,NA,NA, strong lab
E14001562,Walsall and Bloxwich,West Midlands,England,26.67%,19.94%,33.03%,54.10%,47.08%,62.75%,2.93%,1.11%,6.17%,10.87%,5.29%,18.26%,3.05%,1.24%,6.78%,1.30%,0.77%,2.18%,NA,NA,NA,NA,NA,NA, strong lab
E14001563,Walthamstow,London,England,7.28%,5.16%,9.75%,70.00%,61.52%,77.90%,3.68%,1.40%,8.09%,5.00%,2.54%,9.06%,10.58%,5.73%,18.25%,2.49%,1.52%,4.02%,NA,NA,NA,NA,NA,NA, strong lab
E14001564,Warrington North,North West,England,21.43%,15.34%,26.99%,51.00%,41.49%,59.24%,8.55%,3.86%,17.73%,11.84%,5.84%,20.70%,5.33%,2.17%,11.01%,0.65%,0.39%,1.08%,NA,NA,NA,NA,NA,NA, strong lab
E14001565,Warrington South,North West,England,23.04%,17.44%,29.07%,52.12%,43.89%,59.22%,6.45%,2.84%,12.68%,13.43%,7.77%,21.40%,3.29%,1.29%,6.85%,0.87%,0.56%,1.39%,NA,NA,NA,NA,NA,NA, strong lab
E14001566,Warwick and Leamington,West Midlands,England,21.29%,16.15%,25.65%,57.48%,49.51%,66.28%,5.16%,2.20%,10.96%,8.70%,4.18%,15.30%,5.42%,2.34%,10.91%,1.01%,0.58%,1.60%,NA,NA,NA,NA,NA,NA, strong lab
E14001567,Washington and Gateshead South,North East,England,15.74%,10.68%,22.14%,58.40%,48.09%,68.31%,2.50%,0.80%,6.80%,17.00%,9.08%,27.82%,4.83%,1.98%,10.18%,0.45%,0.21%,0.92%,NA,NA,NA,NA,NA,NA, strong lab
E14001568,Watford,Eastern,England,24.17%,19.09%,29.94%,49.55%,39.89%,59.42%,11.88%,5.74%,20.36%,7.27%,3.27%,12.93%,4.59%,1.86%,9.74%,1.34%,0.77%,2.33%,NA,NA,NA,NA,NA,NA, strong lab
E14001569,Waveney Valley,Eastern,England,22.54%,11.64%,36.54%,9.89%,4.69%,18.10%,4.26%,1.67%,9.51%,28.18%,14.46%,43.64%,32.66%,22.37%,44.82%,0.73%,0.29%,1.83%,NA,NA,NA,NA,NA,NA, toss up
E14001570,Weald of Kent,South East,England,36.34%,27.73%,45.10%,25.17%,18.43%,33.44%,11.01%,5.78%,18.86%,21.66%,13.07%,33.10%,4.58%,2.20%,8.93%,NA,NA,NA,NA,NA,NA,NA,NA,NA, likely con
E14001571,Wellingborough and Rushden,East Midlands,England,29.55%,21.11%,36.48%,42.74%,35.11%,51.24%,2.90%,1.06%,6.53%,18.68%,11.06%,30.66%,4.57%,2.12%,9.19%,0.51%,0.32%,0.78%,NA,NA,NA,NA,NA,NA, likely lab
E14001572,Wells and Mendip Hills,South West,England,36.74%,29.57%,44.06%,16.70%,11.18%,23.53%,28.53%,19.58%,39.21%,10.30%,5.09%,17.84%,6.43%,2.94%,12.75%,0.29%,0.15%,0.56%,NA,NA,NA,NA,NA,NA, lean con
E14001573,Welwyn Hatfield,Eastern,England,27.79%,21.37%,34.16%,46.93%,38.02%,55.37%,5.23%,2.24%,10.78%,11.91%,6.25%,20.81%,6.99%,3.39%,13.93%,NA,NA,NA,NA,NA,NA,NA,NA,NA, likely lab
