Seat Name,Electorate,CON,LAB,LIB,Reform,Green,"SNP/Plaid",Indept.,Other
Feltham and Heston,"74,250.000000000",0.150957024,0.441469329,0.046097095,0.239591395,0.111773203,0.000000000,0.000000000,0.010111954
Filton and Bradley Stoke,"73,358.000000000",0.205920355,0.533005496,0.043737345,0.158981776,0.058355028,0.000000000,0.000000000,0.000000000
Finchley and Golders Green,"77,742.000000000",0.433763787,0.245868823,0.105605056,0.117517761,0.092593319,0.000000000,0.000000000,0.004651254
Folkestone and Hythe,"69,793.000000000",0.243872263,0.416102526,0.056655306,0.224800411,0.053737336,0.000000000,0.000000000,0.004832158
Forest of Dean,"71,437.000000000",0.305655247,0.271107486,0.079064709,0.174370129,0.164400943,0.000000000,0.000000000,0.005401486
Frome and East Somerset,"70,040.000000000",0.184729163,0.161543074,0.399180492,0.172876274,0.071297222,0.000000000,0.000000000,0.010373776
Fylde,"74,016.000000000",0.270118515,0.384012929,0.050285927,0.208706282,0.045292558,0.000000000,0.000000000,0.041583789
Gainsborough,"74,306.000000000",0.289549138,0.325285685,0.093683773,0.230625390,0.032765427,0.000000000,0.000000000,0.028090588
Gateshead Central and Whickham,"71,243.000000000",0.128440571,0.515701264,0.060398048,0.218101585,0.063629678,0.000000000,0.000000000,0.013728855
Gedling,"76,299.000000000",0.198294947,0.545189731,0.024041636,0.185458500,0.043422535,0.000000000,0.000000000,0.003592652
Gillingham and Rainham,"73,549.000000000",0.238876645,0.449320270,0.040172824,0.224256443,0.043555109,0.000000000,0.000000000,0.003818709
Glastonbury and Somerton,"69,925.000000000",0.197119576,0.078169414,0.562004927,0.137123366,0.025582717,0.000000000,0.000000000,0.000000000
Gloucester,"76,123.000000000",0.231010771,0.455761358,0.062760841,0.190349378,0.053360626,0.000000000,0.000000000,0.006757025
Godalming and Ash,"71,232.000000000",0.257090185,0.093145379,0.479302061,0.140630528,0.023444629,0.000000000,0.000000000,0.006387218
Goole and Pocklington,"76,519.000000000",0.377988977,0.297552402,0.036713970,0.240116304,0.019854186,0.000000000,0.000000000,0.027774161
Gorton and Denton,"73,749.000000000",0.089223024,0.650659071,0.030270915,0.145039853,0.084807136,0.000000000,0.000000000,0.000000000
Gosport,"73,541.000000000",0.267525103,0.244772593,0.127040756,0.281653869,0.058121677,0.000000000,0.000000000,0.020886001
Grantham and Bourne,"72,168.000000000",0.287147295,0.355897834,0.052441971,0.239753214,0.034990077,0.000000000,0.000000000,0.029769609
