PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001163,Chester North and Neston,North West,21.88,58.80,4.80,4.06,8.43,0,0,1.97,16.73,46.63,2.00,0.94,3.60,0,0,0.40,27.79,68.61,8.91,10.52,17.16,0,0,5.44
E14001164,Chester South and Eddisbury,North West,28.87,45.51,8.43,4.57,11.03,0,0,1.52,21.40,34.26,3.92,1.09,4.56,0,0,0.27,36.59,57.18,14.84,11.36,20.48,0,0,4.54
E14001165,Chesterfield,East Midlands,16.67,53.74,6.24,4.08,15.90,0,0,3.31,12.03,43.17,2.79,1.08,7.80,0,0,0.61,22.09,64.92,11.59,9.63,26.65,0,0,8.95
E14001166,Chichester,South East,29.33,20.23,33.13,4.06,11.38,0,0,1.85,24.01,15.09,26.51,1.70,6.53,0,0,0.50,34.27,26.44,40.58,7.77,17.94,0,0,4.42
E14001167,Chingford and Woodford Green,London,29.13,51.90,6.92,1.98,8.10,0,0,1.95,23.26,42.87,3.25,0.40,3.49,0,0,0.39,35.38,60.89,12.51,5.40,15.42,0,0,5.20
E14001168,Chippenham,South West,30.18,24.67,27.58,2.82,11.52,0,0,3.19,23.01,15.72,18.71,0.70,5.48,0,0,0.76,36.88,34.65,37.45,7.14,20.08,0,0,9.75
E14001169,Chipping Barnet,London,30.45,48.51,8.98,3.76,5.78,0,0,2.50,24.74,38.62,4.57,1.08,2.42,0,0,0.60,36.37,57.26,15.14,8.97,10.89,0,0,6.14
E14001171,Christchurch,South West,37.40,26.05,20.19,4.26,10.48,0,0,1.55,29.16,16.82,11.33,1.14,4.25,0,0,0.26,45.62,37.05,30.81,10.30,19.68,0,0,4.59
E14001172,Cities of London and Westminster,London,28.21,34.41,20.46,6.71,6.18,0,0,3.92,20.21,21.05,11.15,1.17,2.05,0,0,0.58,37.51,48.27,32.35,21.74,14.62,0,0,12.98
E14001173,City of Durham,North East,15.26,59.71,7.92,3.62,11.49,0,0,1.93,11.31,49.41,4.20,0.91,5.86,0,0,0.39,19.66,69.85,13.22,8.69,18.62,0,0,4.90
E14001174,Clacton,East of England,29.46,34.18,5.87,2.65,25.93,0,0,1.83,20.59,23.87,2.58,0.56,13.77,0,0,0.30,39.21,45.72,10.98,7.43,42.10,0,0,5.31
E14001175,Clapham and Brixton Hill,London,15.96,53.42,16.34,4.51,3.51,0,0,6.22,11.78,41.20,9.03,1.14,1.23,0,0,1.72,21.02,65.14,25.82,10.25,7.52,0,0,15.36
E14001176,Colchester,East of England,25.22,44.34,8.48,4.75,14.02,0,0,3.16,19.47,34.46,4.75,1.44,7.39,0,0,0.70,31.97,53.93,13.67,11.00,22.87,0,0,7.77
E14001177,Colne Valley,Yorkshire and The Humber,26.34,44.63,5.01,3.08,18.46,0,0,2.44,19.57,34.95,2.17,0.87,10.03,0,0,0.61,33.14,54.24,9.06,7.77,29.26,0,0,6.77
